Date,Type,Competitor,Feature,Category,Confidence,Sentiment,Rating,Source,Link,Notes,Alert
08.Sep.2026,Announced,McDonald's,Piloting an in-app post-visit feedback platform that sends a push notification approximately 1 hour after an order to collect structured feedback analyzed in real time by relevance and urgency.,Other,Confirmed,,,McDonald's corporate newsroom; Nation's Restaurant News — Sep 2026,https://corporate.mcdonalds.com/corpmcd/our-stories/article/mcdonalds-new-digital-feedback-platform.html,"Response rates jumped 20x over external surveys. Closing the feedback loop inside the app creates a direct real-time data pipeline. BK has no equivalent in-app post-visit feedback feature.",
26.Aug.2026,Announced,McDonald's,Expanding 'Ready on Arrival' geofencing that detects when a mobile-order customer is within ~3 minutes and starts preparing their order automatically.,Ordering flow,Confirmed,,,Restaurant Dive; Customer Experience Dive; Grocery Gazette — Aug 26 2026,https://www.restaurantdive.com/news/mcdonalds-implements-geofencing-technology-for-pickup/646126/,"Aims to cut wait times by half. The app becomes a kitchen trigger, not just an order tool.",Yes
05.Aug.2026,Announced,Taco Bell,Added 'My Mods' feature that lets users save ingredient preferences and apply them to any order with a single tap.,Personalization,Confirmed,,,QSR Magazine; NRN; Taco Bell newsroom — Aug 5 2026,https://www.nrn.com/quick-service/taco-bell-has-redesigned-its-loyalty-program,"Over 50% of TB orders include a customization; directly reduces ordering friction for repeat customizers.",Yes
05.Aug.2026,Announced,Taco Bell,Added 'My Menu' section that saves favorite orders and surfaces personalized recommendations.,Personalization,Confirmed,,,QSR Magazine; NRN; Taco Bell newsroom — Aug 5 2026,https://www.nrn.com/quick-service/taco-bell-has-redesigned-its-loyalty-program,Pairs with My Mods as a unified personalization layer. Recommendations are algorithmic based on past orders.,Yes
05.Aug.2026,Announced,Taco Bell,Redesigned loyalty hub with a dedicated 'Tuesday Drops' section for easy one-tap access to weekly exclusive deals.,Loyalty/Rewards,Confirmed,,,QSR Magazine; NRN; Taco Bell newsroom — Aug 5 2026,https://www.nrn.com/quick-service/taco-bell-has-redesigned-its-loyalty-program,"Makes weekly cadence a design element, not just a promo mechanic. Creates habitual re-engagement hook.",
05.Aug.2026,Announced,Taco Bell,Redesigned loyalty hub consolidates points balance and full order history into a single screen.,Loyalty/Rewards,Confirmed,,,QSR Magazine; NRN; Taco Bell newsroom — Aug 5 2026,https://www.nrn.com/quick-service/taco-bell-has-redesigned-its-loyalty-program,Positions loyalty as a tracking tool not just a discount mechanism.,
03.Aug.2026,Confirmed,Domino's,Launched a fully redesigned app and website with a bolder visual identity and a rebuilt Order Tracker featuring iOS Live Activities for real-time order updates directly on the iPhone lock screen.,Navigation/UI,Confirmed,,,Nation's Restaurant News; ir.dominos.com; Restaurant Dive; QSR Magazine — Aug 2026,https://ir.dominos.com/news-releases/news-release-details/dominosr-paying-customers-beta-test-its-new-website-and-app,"Live Activities order tracking sets a new bar for real-time order visibility. Redesign faced public backlash — cautionary data point about major redesigns without sufficient user testing.",
15.Jun.2026,Announced,Wendy's,Integrated Paze as a checkout payment option with a '$10 back on $10+ spend' incentive running June 15 – Sep 10 2026.,Checkout,Confirmed,,,Wendys.com; Paze.com; Doctor of Credit — June 15 2026,https://www.doctorofcredit.com/10-back-on-10-at-wendys-with-paze/,"Paze is a bank-consortium digital wallet. Adding alongside Google Pay / Apple Pay / cards. Integration is permanent.",
28.May.2026,Announced,Chipotle,Launched 'Summer of Extras' streak-based rewards with restaurant-level leaderboards — members can climb local rankings and compete with friends.,Loyalty/Rewards,Confirmed,,,Chipotle newsroom — May 28 2026,https://newsroom.chipotle.com/2026-05-28-CHIPOTLES-SUMMER-OF-EXTRAS-RETURNS,-WITH-STREAK-BASED-REWARDS-AND-LOCAL-RANKINGS-TO-GAMIFY-THE-REWARDS-EXPERIENCE,Gamification layer on top of Rewards on Repeat. Drives frequency through competitive social mechanics.,Yes
May.2026,Confirmed,Starbucks,Rolled out nationwide scheduled ordering letting customers choose their exact mobile pickup time before arriving at the store.,Ordering flow,Confirmed,,,QSR Magazine — May 2026,https://www.qsrmagazine.com/story/starbucks-expands-digital-strategy-with-new-scheduled-pickup-feature/,"Time-slot pickup selection reduces arrival friction and sets clear expectations. BK mobile ordering lacks a comparable scheduled pickup feature.",Yes
15.Apr.2026,Confirmed,Starbucks,Launched AI-powered drink discovery via a native ChatGPT integration — customers describe their mood or upload a photo to receive personalized drink recommendations and then complete checkout inside the Starbucks app.,Personalization,Confirmed,,,PYMNTS; Nation's Restaurant News; Restaurant Dive; QSR Magazine — Apr 15 2026,https://www.pymnts.com/artificial-intelligence-2/2026/starbucks-brews-ai-powered-drink-picks-inside-chatgpt/,"First major QSR to use conversational AI as a discovery layer while keeping transaction and loyalty inside its own app. BK has no comparable AI-powered personalized discovery entry point.",Yes
14.Apr.2026,Announced,Chipotle,Relaunched 'Rewards on Repeat' loyalty program with monthly free food drops and a fully redesigned in-app experience.,Loyalty/Rewards,Confirmed,,,MediaPost; Chain Store Age; Restaurant Dive — April 14 2026,https://www.restaurantdive.com/news/chipotle-rewards-relaunch-freepotle-returns/817264/,"Freepotle returns. Lower point thresholds, selectable birthday reward with 30-day redemption window. App centralizes all rewards in a single hub.",
04.Apr.2026,Announced,Chick-fil-A,Increased point values for some rewards and expanded menu item options at each loyalty tier.,Loyalty/Rewards,Confirmed,,,Nation's Restaurant News — April 4 2026,https://www.nrn.com/quick-service/chick-fil-a-updates-loyalty-rewards,"Direction is member-favorable (more value per point, more choice). Four-tier system (Member/Silver/Red/Signature) unchanged.",
01.Apr.2026,Announced,Subway,Rebuilt the app with faster menu browsing and checkout; moved 'Favorites' and 'Past Orders' to a persistent bottom menu bar.,Ordering flow,Confirmed,,,Subway.com app changelog; SubwayMenuUS.com — April 1 2026,https://subwaymenuus.com/app/,"Coincided with loyalty relaunch. Persistent shortcuts reduce navigation depth to reorder.",Yes
01.Apr.2026,Announced,Subway,Replaced 'Sub Club' loyalty — removes buy-3-get-1-free benefit and introduces member-only pricing with rotating exclusive offers.,Loyalty/Rewards,Confirmed,,,Doctor of Credit; Loyalty & Reward Co; Subway.com — April 1 2026,https://loyaltyrewardco.com/subway-launches-new-loyalty-program/,"High-value buy-3-get-1 perk is gone. Positioned as a move toward personalized offers. New users get 250 bonus points on sign-up.",
17.Mar.2026,Announced,McDonald's,Updated MyMcDonald's Rewards point redemption thresholds — new rewards catalog with revised point costs.,Loyalty/Rewards,Confirmed,,,McDonald's corporate newsroom — March 17 2026,https://www.customerexperiencedive.com/news/mcdonalds-loyalty-app-center-tech-ambitions/812203/,"Framed as 'fresh new rewards.' Part of push to reach 250M 90-day active loyalty users and $45B in systemwide sales by 2027.",
10.Mar.2026,Announced,Starbucks,Launched three-tier loyalty structure (Green / Gold / Reserve) with differentiated star-earning rates (1.0 / 1.2 / 1.7 stars per $1).,Loyalty/Rewards,Confirmed,,,Official Starbucks newsroom; Fast Company; Newsweek — March 10 2026,https://investor.starbucks.com/news/financial-releases/news-details/2026/Starbucks-Unveils-Reimagined-Loyalty-Program-to-Deliver-More-Meaningful-Value-Personalization-and-Engagement-for-Members/default.aspx,"Top 5% auto-assigned to Reserve, next 20% to Gold. Green stars expire in 6 months; Gold/Reserve never expire.",
10.Mar.2026,Announced,Starbucks,Added a new 60-star redemption tier that gives members $2 off any item.,Loyalty/Rewards,Confirmed,,,Official Starbucks newsroom; Axios — March 10 2026,https://investor.starbucks.com/news/financial-releases/news-details/2026/Starbucks-Unveils-Reimagined-Loyalty-Program-to-Deliver-More-Meaningful-Value-Personalization-and-Engagement-for-Members/default.aspx,New lower-cost redemption option. Lowers the barrier to first redemption.,
10.Mar.2026,Announced,Starbucks,Launched 'Free Mod Mondays' — all members get one free drink modification on the first Monday of each month.,Loyalty/Rewards,Confirmed,,,Official Starbucks newsroom; Loyalty & Reward Co — March 2026,https://investor.starbucks.com/news/financial-releases/news-details/2026/Starbucks-Unveils-Reimagined-Loyalty-Program-to-Deliver-More-Meaningful-Value-Personalization-and-Engagement-for-Members/default.aspx,"Available to all tiers including Green. Creates a predictable monthly engagement cadence visible in the app.",
